code,name,r,g,b
6P2313,SIMPLY ME,212,212,221
7P2392,APPLE SHAKE,215,226,205
1P0325,FAIRY WING,245,209,190
5P1058,GYPSY WIND,190,221,230
4P0954,IRISH COUNTRYSIDE,195,231,217
3T0724,GOLDEN SUNSHINE,255,224,157
7P1498,GARDEN MEDLEY,213,227,207
6P2320,KNOWING NICOLE,215,207,224
3P0088,LEMON LACE,225,229,193
5P1138,CLOUD-WISPED SKY,195,216,232
7P0187,SCALLION,224,218,206
1P0030,BERKSHIRE LACE,244,209,193
6P1202,PHANTOM LAKE,207,214,225
4P2098,PARADISE,238,231,175
3T0827,MEADOW MIST,233,233,179
5P0151,BRISK BREEZE,199,212,233
3T2084,SO DELIGHTFUL,243,223,179
4P0946,ENGLISH COUNTRYSIDE,191,237,216
4T0891,BEST OF SPRING,216,238,193
4P0962,EMERALD ICE,184,234,224
5P1098,AFTER THE RAIN,189,222,232
4P2190,LITTLE CACTUS,190,230,224
3T0773,SUNNY AT HEART,255,233,146
5P0150,DROP OF BLUE,194,215,235
4P0938,GREEN MIST,196,235,215
1P0008,WISHING PINK,245,204,199
4P2162,REGAL TOUCH,198,228,221
4P0986,SEASIDE GLOW,187,231,226
7P1506,SOMETHING GREEN,217,228,205
2P0225,CHERISHED FLOWER,252,218,175
7P1554,SIERRA FOOTHILLS,233,222,195
8P2654,PALE GEMSTONE,212,221,217
4P0970,SPRING RAIN,191,233,222
7P1546,SUTHERLAND,228,223,200
7P0182,CHAMPAGNE TOAST,223,214,214
4P0994,HIDDEN SPRINGS,184,231,229
6P1226,VICTORIA GLACIER,203,214,231
3P0062,FRENCH BREAD,233,221,197
5P1122,SWIRLING WATER,189,221,235
8P2643,WIND WHIPPED,204,223,223
5P1034,TEAR DROP,188,227,231
5P1154,TRANQUIL TERESA,197,219,232
7P1618,CASABA,237,216,199
8P2604,FLOWER PIN,215,218,219
7P1626,BEAUTY AND THE BEACH,244,214,193
8P1714,ITALIAN MARBLE,225,218,210
8P1961,SHOOTING STAR,222,219,212
8P1721,SNOW TOP,223,217,213
8P2673,SEIZE THE DAY,210,221,221
4P0114,POLAR ICE,203,228,220
5P1146,A GENTLE PLACE,198,219,232
6P1194,BELLISIMA,207,215,229
5P0297,WATER WILLOW,217,209,226
6P0167,APRIL GLOW,225,198,228
5P1090,TRANQUIL TIMES,191,224,233
3P2096,HANGING BIRCH,240,229,182
7P2404,PINCHETS CLOUD,228,225,201
3T0875,PISTACHIO PUDDING,227,241,183
5P0285,AQUA FISH,201,231,220
5P1041,FOLLOW THE TRADEWINDS,198,225,228
8P2607,FLEETING THOUGHT,214,219,221
6P0159,OBSESSION,217,203,232
8P2585,ROSENBERG,225,218,212
8P0197,SNOW DRIFT,222,220,213
8P1761,GREEK GODDESS,228,214,213
6P1426,PINK CONFECTION,235,204,215
6P2299,TWILIGHT DREAMS,205,215,232
7P1514,THINK SPRING,226,228,201
5P1074,IT'S A BOY,187,226,235
2P0610,BLUSH BEIGE,247,215,191
4P0922,SPRING AHEAD,202,239,212
7P0181,DUSTRY ROSE TINT,229,215,212
3T0859,SPRING ASPARAGUS,229,236,190
8P2722,WORK BENCH,229,220,208
6P1218,ROMANIA,209,216,230
4P2210,ENDEARING TOUCH,209,225,222
6P0168,ALLURE VIOLET,230,198,227
6P1258,SLIGHT NUANCE,214,214,228
4P0101,BERYL,213,226,218
8P1706,PICKET FENCE,227,220,211
5P0131,TROPIC BREEZE,187,232,232
7P2465,MACADEMIA ROLL,235,222,201
3T0867,SPRING WELCOME,227,240,189
6P1290,LAVENDER FROST,217,213,227
2P0043,ANTIQUE IVORY,237,222,199
5P1162,CLEAR BLUE,199,220,235
4P0116,AQUA MOON,203,232,221
5P1065,IT'S CLEAR TO SEE,200,225,230
7P1594,ANTIQUA,239,221,198
5P1130,GULL LAKE,194,222,237
8P2729,QUIET DAY,228,220,211
8P2713,WOOLLEN,223,220,216
8P2743,MILKY OFF-WHITE,233,223,203
1P0020,COTTON PINK,236,216,207
7P1610,SANDHURST,242,222,194
8P2698,TUXE WHITE,219,221,219
3T0739,YELLOW HAZE,246,229,181
6P1250,LITTLE GRAPETTE,209,215,233
7P1954,SOFT SONATA,228,222,210
1P0026,TWILIGHT HUSH,232,218,210
2P0698,ALMOND BISCOTTI,245,223,190
8P0212,FRESH DEW,212,223,224
3T0851,MINT LEAF,234,240,183
7P1538,CLOUD OF DUST,233,228,199
3P0087,LEMON LIME,228,232,200
6P1282,LADY FRIEND,216,215,228
6P1362,RASPBERRY WHISPER,229,209,222
5P0289,THE SKY'S THE LIMIT,195,225,236
6P2342,LAUGHING LILAC,225,214,222
7P1562,VANILLA FROST,238,225,198
4P0119,CLEARLY COOL,195,237,225
7P1945,HAVE FAITH,229,223,210
6P1354,CHERUB CHOIR,226,211,224
3T0764,SUNSWEPT,255,233,165
4P0103,PORCELAIN,198,239,221
4P2217,GARDEN WALL,207,229,224
6P0176,CHENILLE PINK,237,196,226
6P1234,DUSTY LILAC,212,217,231
6P1306,HAPPY EASTER,219,215,227
6P1895,LOVELY HORIZON,215,220,226
1P0007,WINSOME,246,210,205
1P0434,PINKEST PINK,242,205,214
6P1242,PEONY PLACE,216,216,229
1P0498,PLEASANT PINK,251,204,205
3P2069,COCONUT CREAM,241,229,191
1P0466,AZALEA BLOSSOM,246,203,212
2P0674,SANDS OF TIME,250,223,187
8P0196,SWEET SULTANA,222,222,219
8P1959,FLYING SEAGULL,222,222,219
6P1266,VANISHING VIOLET,217,217,228
7P1465,GREEN FILLER,211,230,221
4P1017,SPRING BOUNTY,206,229,226
6P0157,PALE PHLOX,220,207,234
7P1449,SPRING BANQUET,205,229,227
6P2326,VIOLET RAYS,219,213,230
7P1641,PRETTIEST PALE,243,216,204
3P1875,FRESHEN UP,235,231,197
8P2536,ANGELIC,232,219,213
8P2542,AURA,235,219,210
3P2083,AMAZING GRACE,246,230,185
6P1425,PINK PALE,238,212,214
5P1033,SOUTH BAY,201,230,230
5P1057,SOFT SPUN CLOUD,205,229,228
3P0061,PETTICOAT,245,226,192
7P0186,ROCK SALT,230,223,212
6P1298,LILAC LIGHT,223,214,227
8P2687,SNOW FORT,224,223,218
8P1817,MOUNTAIN SPRINGS,214,226,224
6P1330,INFINITE GRACE,226,214,225
