code,name,r,g,b
914048,X123,145,64,72
5E5958,K090,94,89,88
FACA17,X168,250,202,23
72603B,K170,114,96,59
5C644E,8381,92,100,78
735346,0419,115,83,70
764752,8701,118,71,82
7F4A46,9947,127,74,70
774A4C,8693,119,74,76
5D7240,9791,93,114,64
7F454B,X129,127,69,75
64594D,8437,100,89,77
69564A,8765,105,86,74
C73D3C,8093,199,61,60
626E3C,9807,98,110,60
2E9395,7454,46,147,149
3D6992,9652,61,105,146
76484D,K028,118,72,77
6A475C,9101,106,71,92
654763,9607,101,71,99
605653,K114,96,86,83
5C4B6A,X141,92,75,106
585D55,K148,88,93,85
754D46,9960,117,77,70
565B5A,K097,86,91,90
4B6B5A,0757,75,107,90
684A57,K067,104,74,87
4F4F82,X187,79,79,130
53516F,7197,83,81,111
624D5A,K074,98,77,90
507648,9776,80,118,72
8C483A,K230,140,72,58
575A58,K128,87,90,88
7A444B,K010,122,68,75
4A8348,9764,74,131,72
2DB1BE,7439,45,177,190
66623D,9863,102,98,61
724E45,K214,114,78,69
685547,8773,104,85,71
418D50,9759,65,141,80
64564A,8757,100,86,74
6D4358,8165,109,67,88
5A5C4F,8389,90,92,79
6D5343,K196,109,83,67
635947,K181,99,89,71
6C5146,K216,108,81,70
4F8B3B,9763,79,139,59
6C4850,K264,108,72,80
6F4F44,K215,111,79,68
6C4E48,K221,108,78,72
524E70,7165,82,78,112
56634B,9794,86,99,75
655745,8493,101,87,69
71474B,X128,113,71,75
6C4454,X135,108,68,84
5F4467,9606,95,68,103
534977,9621,83,73,119
7A4841,K254,122,72,65
694C4C,X127,105,76,76
4D5F5B,K132,77,95,91
606040,9847,96,96,64
4F7047,9784,79,112,71
6B5044,8645,107,80,68
7A4543,9979,122,69,67
61534B,K272,97,83,75
60643B,9824,96,100,59
6E4B45,9916,110,75,69
5C5152,K073,92,81,82
307490,9675,48,116,144
437D4C,2435,67,125,76
564B62,9622,86,75,98
64405E,9600,100,64,94
3A657A,9677,58,101,122
655046,K217,101,80,70
2AABC8,7407,42,171,200
655342,K283,101,83,66
6E4845,4181,110,72,69
2C7FB2,9657,44,127,178
7C4141,K008,124,65,65
554D5D,9625,85,77,93
535456,8261,83,84,86
2B88BE,7326,43,136,190
59663C,9814,89,102,60
41567C,X142,65,86,124
5B544A,8469,91,84,74
268AA5,9672,38,138,165
446559,X153,68,101,89
484C7B,7213,72,76,123
62593C,9853,98,89,60
614850,X134,97,72,80
56554E,8325,86,85,78
356B74,X181,53,107,116
594A56,8205,89,74,86
3E6D59,9749,62,109,89
33855C,9754,51,133,92
424F81,9641,66,79,129
52574E,8365,82,87,78
664B43,9940,102,75,67
5F4355,K039,95,67,85
754041,9948,117,64,65
53554D,K299,83,85,77
6D4443,9961,109,68,67
405D64,7413,64,93,100
366F64,9725,54,111,100
238CB0,7358,35,140,176
585C3E,K154,88,92,62
415273,9643,65,82,115
594F4A,K211,89,79,74
4C6049,9792,76,96,73
29A35F,9753,41,163,95
604E42,K210,96,78,66
6E4143,0R05,110,65,67
4F4D5A,7189,79,77,90
5A5343,K160,90,83,67
